"province","age_group","sex","vaccination_date","total_number_individuals_vaccinated"
"Eastern Cape","18-34","Male","2021-10-05",2791
"Eastern Cape","18-34","Male","2021-10-06",2908
"Eastern Cape","18-34","Male","2021-10-07",2845
"Eastern Cape","18-34","Male","2021-10-08",2460
"Eastern Cape","18-34","Male","2021-10-09",656
"Eastern Cape","18-34","Male","2021-10-10",324
"Eastern Cape","18-34","Male","2021-10-11",2697
"Eastern Cape","18-34","Male","2021-10-12",3086
"Eastern Cape","18-34","Male","2021-10-13",3218
"Eastern Cape","18-34","Male","2021-10-14",3239
"Eastern Cape","18-34","Male","2021-10-15",2852
"Eastern Cape","18-34","Male","2021-10-16",721
"Eastern Cape","18-34","Male","2021-10-17",335
"Eastern Cape","18-34","Male","2021-10-18",2614
"Eastern Cape","18-34","Male","2021-10-19",2792
"Eastern Cape","18-34","Male","2021-10-20",2853
"Eastern Cape","18-34","Male","2021-10-21",3080
"Eastern Cape","18-34","Male","2021-10-22",2463
"Eastern Cape","18-34","Male","2021-10-23",816
"Eastern Cape","18-34","Male","2021-10-24",331
"Eastern Cape","18-34","Male","2021-10-25",2556
"Eastern Cape","18-34","Male","2021-10-26",2795
"Eastern Cape","18-34","Male","2021-10-27",2432
"Eastern Cape","18-34","Male","2021-10-28",2546
"Eastern Cape","18-34","Male","2021-10-29",1917
"Eastern Cape","18-34","Male","2021-10-30",512
"Eastern Cape","18-34","Male","2021-10-31",187
"Eastern Cape","18-34","Male","2021-11-01",772
"Eastern Cape","18-34","Male","2021-11-02",2051
"Eastern Cape","18-34","Male","2021-11-03",2195
"Eastern Cape","18-34","Male","2021-11-04",2288
"Eastern Cape","18-34","Male","2021-11-05",1881
"Eastern Cape","18-34","Male","2021-11-06",386
"Eastern Cape","18-34","Male","2021-11-07",187
"Eastern Cape","18-34","Male","2021-11-08",1380
"Eastern Cape","18-34","Male","2021-11-09",2085
"Eastern Cape","18-34","Male","2021-11-10",2464
"Eastern Cape","18-34","Male","2021-11-11",2292
"Eastern Cape","18-34","Male","2021-11-12",2291
"Eastern Cape","18-34","Male","2021-11-13",1085
"Eastern Cape","18-34","Male","2021-11-14",753
"Eastern Cape","18-34","Male","2021-11-15",2541
"Eastern Cape","18-34","Male","2021-11-16",2513
"Eastern Cape","18-34","Male","2021-11-17",2399
"Eastern Cape","18-34","Male","2021-11-18",2012
"Eastern Cape","18-34","Male","2021-11-19",1907
"Eastern Cape","18-34","Male","2021-11-20",349
"Eastern Cape","18-34","Male","2021-11-21",202
"Eastern Cape","18-34","Male","2021-11-22",2408
"Eastern Cape","18-34","Male","2021-11-23",2075
"Eastern Cape","18-34","Male","2021-11-24",2291
"Eastern Cape","18-34","Male","2021-11-25",2084
"Eastern Cape","18-34","Male","2021-11-26",1770
"Eastern Cape","18-34","Male","2021-11-27",400
"Eastern Cape","18-34","Male","2021-11-28",136
"Eastern Cape","18-34","Male","2021-11-29",2791
"Eastern Cape","18-34","Male","2021-11-30",2561
"Eastern Cape","18-34","Male","2021-12-01",2311
"Eastern Cape","18-34","Male","2021-12-02",2148
"Eastern Cape","18-34","Male","2021-12-03",1605
"Eastern Cape","18-34","Male","2021-12-04",390
"Eastern Cape","18-34","Male","2021-12-05",194
"Eastern Cape","18-34","Male","2021-12-06",1686
"Eastern Cape","18-34","Male","2021-12-07",1492
"Eastern Cape","18-34","Male","2021-12-08",1386
"Eastern Cape","18-34","Male","2021-12-09",1364
"Eastern Cape","18-34","Male","2021-12-10",1026
"Eastern Cape","18-34","Male","2021-12-11",209
"Eastern Cape","18-34","Male","2021-12-12",66
"Eastern Cape","18-34","Male","2021-12-13",1063
"Eastern Cape","18-34","Male","2021-12-14",891
"Eastern Cape","18-34","Male","2021-12-15",843
"Eastern Cape","35-49","Female","2021-02-18",22
"Eastern Cape","35-49","Female","2021-02-19",67
"Eastern Cape","35-49","Female","2021-02-21",60
"Eastern Cape","35-49","Female","2021-02-22",99
"Eastern Cape","35-49","Female","2021-02-23",261
"Eastern Cape","35-49","Female","2021-02-24",294
"Eastern Cape","35-49","Female","2021-02-25",342
"Eastern Cape","35-49","Female","2021-02-26",302
"Eastern Cape","35-49","Female","2021-02-27",50
"Eastern Cape","35-49","Female","2021-02-28",47
"Eastern Cape","35-49","Female","2021-03-01",18
"Eastern Cape","35-49","Female","2021-03-02",87
"Eastern Cape","35-49","Female","2021-03-03",199
"Eastern Cape","35-49","Female","2021-03-04",245
"Eastern Cape","35-49","Female","2021-03-05",230
"Eastern Cape","35-49","Female","2021-03-08",148
"Eastern Cape","35-49","Female","2021-03-09",485
"Eastern Cape","35-49","Female","2021-03-10",334
"Eastern Cape","35-49","Female","2021-03-11",262
"Eastern Cape","35-49","Female","2021-03-12",200
"Eastern Cape","35-49","Female","2021-03-15",266
"Eastern Cape","35-49","Female","2021-03-16",337
"Eastern Cape","35-49","Female","2021-03-17",347
"Eastern Cape","35-49","Female","2021-03-18",538
"Eastern Cape","35-49","Female","2021-03-19",427
"Eastern Cape","35-49","Female","2021-03-23",491
"Eastern Cape","35-49","Female","2021-03-24",447
"Eastern Cape","35-49","Female","2021-03-25",525
"Eastern Cape","35-49","Female","2021-03-26",541
"Eastern Cape","35-49","Female","2021-03-29",569
"Eastern Cape","35-49","Female","2021-03-30",527
"Eastern Cape","35-49","Female","2021-03-31",660
